1;0;241999040;0
1;1;0;96811846
1;0;0;28198359
1;0;0;26074220
1;0;0;20274618
2;0;382635838;0
2;2;0;87678035
2;0;0;25315611
2;0;0;27415657
2;0;0;21164380
3;0;291629372;0
3;3;0;87081349
3;0;0;27439742
3;0;0;21372652
3;0;0;22139671
3;0;0;24395748
4;0;130918331;0
4;4;0;109863853
4;0;0;29518559
4;0;0;26326149
5;0;131833110;0
5;5;0;106882485
5;0;0;26414187
5;0;0;21655845
6;0;161908098;0
6;6;0;88353050
6;7;0;108114500
6;8;0;116481301
6;0;0;29433897
6;0;0;21890244
7;0;219778584;0
7;9;0;117685819
7;0;0;25290499
7;0;0;22207938
8;0;152279330;0
8;10;0;88949037
8;11;0;105967169
8;0;0;26540555
8;0;0;29009581
9;0;132508986;0
9;12;0;89254497
9;13;0;96870145
9;0;0;25006360
9;0;0;20329381
9;0;0;27267861
10;0;200301465;0
10;14;0;88514679
10;0;0;23074076
10;0;0;26514477
10;0;0;23955876
11;0;148178856;0
11;15;0;118776464
11;0;0;22991281
11;0;0;29112418
11;0;0;20794668
12;0;122352561;0
12;16;0;85577082
12;0;0;22971057
12;0;0;27317393
13;0;182709668;0
13;17;0;121247424
13;0;0;22490839
13;0;0;25418298
13;0;0;26582426
14;0;122456466;0
14;18;0;105726119
14;0;0;25329713
14;0;0;25029501
15;0;85799285;0
15;19;0;79045317
15;0;0;24348496
15;0;0;22983224
16;0;3292711010;0
16;20;0;110945777
16;0;0;26269182
16;0;0;25423772
